order_id,order_date,order_value,shipping_distance,lead_time,supplier_reliability_score,inventory_level,demand_forecast,weather_risk_index,shipping_mode,supplier_region,product_category,season,carrier,is_delayed
ORD000001,2025-05-12 18:46:42.242844,3547.796360115461,226.90179407300425,3.793586875876294,0.8146137670744682,480.46008178119104,483.383080812565,0.2467952243185982,Rail,Asia,Food,Spring,Carrier_A,1
ORD000002,2026-01-13 18:46:42.242844,5032.636775869642,67.85210247416488,5.935180898032809,0.8111402627214618,409.5786973893155,136.7126399950052,0.17384162464779235,Rail,Asia,Electronics,Winter,Carrier_D,0
ORD000003,2025-10-27 18:46:42.242844,3196.441111906389,484.3073329405927,6.7511372181075275,0.9062413620843388,364.1874270007449,755.6070805109598,0.4773242206081667,Road,North America,Automotive,Fall,Carrier_A,0
ORD000004,2025-05-16 18:46:42.242844,4055.0659402518877,213.8412350277774,5.772944622172262,0.9058028143311798,688.6821219452091,302.9599798026485,0.07298493511274294,Road,Europe,Electronics,Spring,Carrier_A,0
ORD000005,2025-04-11 18:46:42.242844,8128.619659984164,326.27936720962396,11.614057355582627,0.9510896549517489,794.0360468169737,840.4844666566725,0.2702087492135203,Road,Asia,Chemicals,Spring,Carrier_D,0
ORD000006,2025-08-06 18:46:42.242844,3683.2620503281187,1032.2571979313325,13.680649982534094,0.8777528245155729,773.1367363060034,301.48687616043134,0.2512597187083537,Sea,North America,Automotive,Summer,Carrier_D,1
ORD000007,2025-02-19 18:46:42.242844,7463.994876006002,200.7670260921175,4.470678726155695,0.8984758038265723,582.383548596086,531.564775082194,0.057888270233414404,Rail,Europe,Textiles,Winter,Carrier_C,0
ORD000008,2025-05-12 18:46:42.242844,2793.7681994109184,469.6113414434164,2.7626839549609183,0.8947212717724733,617.7482140891086,382.380527152214,0.332030505116947,Sea,Asia,Food,Spring,Carrier_A,0
ORD000009,2025-05-31 18:46:42.242844,6405.434751738831,572.8393501329539,15.989706589097347,0.9693615987219499,303.33091628745973,350.1523134707415,0.24001364881072332,Sea,Asia,Chemicals,Spring,Carrier_A,0
ORD000010,2025-09-01 18:46:42.242844,10104.986666372664,761.0813348299284,10.24313219498565,0.8915732956085756,460.2824908939168,551.1609239048424,0.37889113800770813,Rail,Asia,Food,Summer,Carrier_D,1
